id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Symphony Dawn,Orchestra Prime,classical,calm,0.25,60,0.65,0.15,0.95
12,Urban Flow,Rhythm Kings,hip-hop,energetic,0.88,95,0.72,0.92,0.08
13,Country Sunset,Rusty Boots,country,romantic,0.55,110,0.78,0.68,0.45
14,Electric Dreams,Synth Nova,electronic,upbeat,0.95,130,0.85,0.88,0.02
15,Island Breeze,Tropical Vibes,reggae,relaxed,0.60,90,0.80,0.75,0.30
16,Blues Midnight,Soul Strings,blues,melancholic,0.45,85,0.35,0.55,0.70
17,Metal Thunder,Heavy Forge,metal,intense,0.98,160,0.40,0.65,0.05
18,Folk Tales,Woodland Echoes,folk,nostalgic,0.50,100,0.60,0.50,0.85
